time,bpm
20:41:00,17.1
20:41:30,16.2
20:42:00,17.8
20:42:30,18.5
20:43:00,17.2
20:43:30,11.4
20:44:00,16.6
20:44:30,15.9
20:45:00,18.1
20:45:30,16.4
20:46:00,12.8
20:46:30,20.0
20:47:00,12.7
20:47:30,12.7
20:48:00,12.7
20:48:30,12.7
20:49:00,11.5
20:49:30,11.5
20:50:00,12.4
20:50:30,17.2
20:51:00,13.1
20:51:30,17.0
20:52:00,15.5
20:52:30,19.3
20:53:00,17.6
20:53:30,17.1
20:54:00,16.7
20:54:30,17.2
20:55:00,15.4
20:55:30,14.3
20:56:00,19.6
20:56:30,14.3
20:57:00,17.7
20:57:30,17.4
20:58:00,17.4
20:58:30,19.2
20:59:00,18.3
20:59:30,17.4
21:00:00,20.3
21:00:30,14.6
21:01:00,17.1
21:01:30,20.0
21:02:00,14.9
21:02:30,15.7
21:03:00,15.6
21:03:30,15.5
21:04:00,15.5
21:04:30,15.9
21:05:00,16.4
21:05:30,14.8
21:06:00,13.8
21:06:30,17.6
21:07:00,17.5
21:07:30,16.5
21:08:00,17.7
21:08:30,18.6
21:09:00,18.3
21:09:30,18.3
21:10:00,15.5
21:10:30,11.8
21:11:00,10.8
21:11:30,16.3
21:12:00,17.8
21:12:30,15.6
21:13:00,15.9
21:13:30,16.0
21:14:00,16.2
21:14:30,18.0
21:15:00,14.6
21:15:30,16.9
21:16:00,15.5
21:16:30,17.6
21:17:00,11.9
21:17:30,11.8
21:18:00,14.8
21:18:30,17.3
21:19:00,17.9
21:19:30,17.6
21:20:00,17.1
21:20:30,17.7
21:21:00,14.2
21:21:30,17.9
21:22:00,14.6
21:22:30,15.6
21:23:00,14.9
21:23:30,16.4
21:24:00,16.6
21:24:30,18.2
21:25:00,16.8
21:25:30,16.3
21:26:00,20.5
21:26:30,12.8
21:27:00,13.0
21:27:30,11.9
21:28:00,15.6
21:28:30,17.1
21:29:00,16.6
21:29:30,18.7
21:30:00,14.6
21:30:30,13.2
21:31:00,17.7
21:31:30,13.4
21:32:00,14.5
21:32:30,13.6
